CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Niger,,,,,,,,,,,,,,,,,,,,,0.103550715,0.12337684,0.132443228,0.179264648,0.222083984,0.206923708,0.175953543,0.195120043,0.180521471,0.188124891,0.152323809,0.146638591,0.149857613,0.165663425,0.157957395,0.162354751,0.173248836,0.167996815,0.161511312,0.16021763,0.122021727,0.108677767,0.113159185,0.11617688,0.116060819,0.104121548,0.097538774,0.100676672,0.090283905,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,0.548312042,0.610829732,0.608964871,0.58740604,0.716984392,0.656070936,0.673058124,0.547214825,0.593612351,0.332193071,0.328250906,0.312462975,0.435363796,0.394334678,0.306032233,0.22343326,0.247990557,0.240090761,0.235618641,0.259766707,0.435710421,0.444862433,0.515728172,0.443804889,0.418111618,0.425289817,0.354971266,0.320376829,0.326633819,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,0.327233365,0.305685542,0.301834173,0.266142829,0.276443837,0.276523654,0.256375426,0.26303802,0.250870215,0.276875041,0.228255473,0.226277725,0.202558435,0.207951588,0.184878897,0.200210024,0.191532471,0.186954513,0.184534665,0.21447951,0.196506077,0.204013924,0.183076401,0.206461806,0.198783317,0.192401208,0.196184264,0.193996007,0.215804403,,,
Oman,,,,,,,,,,,,,,,,,,,,,0.52135139,0.443259326,0.378651121,0.426241897,0.390813342,0.368374297,0.396462922,0.392222347,0.41512617,0.352601215,0.377964797,0.376895551,0.384086128,0.403260228,0.440109667,0.437384939,0.405602389,0.391827934,0.4079504,0.510193283,0.512867533,0.442262725,0.538772818,0.687452382,0.641878069,0.677679362,0.721403352,0.700738627,0.703938965,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,0.325484533,0.323530082,0.330027641,0.333209191,0.337228207,0.345024707,0.342818534,0.34861737,0.352229202,0.351397092,0.378390102,0.358465289,0.354994612,0.373871624,0.391964392,0.371866749,0.396504266,0.393619817,0.395794367,0.392456826,0.399164351,0.39814643,0.406373672,0.4039351,0.416476961,0.401561335,0.403715017,0.421363038,0.420661561,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041080619,0.538753659,0.594497729,0.554051938,0.516249176,0.482701426,0.47184891,0.462596963,0.489003132,0.48754051,0.752005969,0.779280797,0.821126676,0.782770902,0.756231458,0.77576409,0.786944124,0.827491192,,,
Panama,,,,,,,,,,,,,,,,,,,,,0.269685479,0.222306824,0.202310913,0.228239195,0.195075154,0.175493863,0.176216903,0.213216896,0.207733287,0.182111684,0.213708788,0.21130279,0.231176462,0.2254227,0.253823558,0.181160176,0.247658355,0.28401272,0.264099518,0.242236055,0.240866263,0.289846213,0.23604972,0.238909559,0.209351358,0.203212473,0.21183123,0.184173116,0.172835918,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,0.295322412,0.312753148,0.314018672,0.313952791,0.320819887,0.320642394,0.297292165,0.32730004,0.299573572,0.281095936,0.304970047,0.268381544,0.234478343,0.192702672,0.198946905,0.192275723,0.189386976,0.232823776,0.268671144,0.229015365,0.256195638,0.30829802,0.335777028,0.371205506,0.408129864,0.405568658,0.393779468,0.248894272,0.157983102,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,0.118566849,0.102969454,0.103958336,0.111119706,0.114319256,0.114387306,0.124572477,0.134918183,0.144743774,0.142149568,0.133140679,0.128247273,0.145586214,0.157741228,0.180221098,0.19365426,0.182529145,0.198188877,0.211515721,0.214697003,0.181971732,0.184671503,0.188484834,0.189540967,0.182834059,0.166564983,0.166080484,0.161430015,0.151865492,,,
Peru,,,,,,,,,,,,,,,,,,,,,0.22937908,0.213849107,0.211277705,0.206961462,0.19905961,0.182588426,0.185860799,0.203086307,0.216617278,0.213396235,0.218054647,0.20585293,0.206442321,0.227673916,0.19900407,0.188378336,0.187446977,0.197319605,0.201523216,0.21083739,0.211343251,0.18909145,0.180198316,0.168073973,0.193578175,0.212582579,0.186384688,0.210684369,0.178744117,,,
Philippines,,,,,,,,,,,,,,,,,,,,,0.278039771,0.254499515,0.246947435,0.246543496,0.235871681,0.240387895,0.237816419,0.249561967,0.276775014,0.26620218,0.283191191,0.29314161,0.320791085,0.320186267,0.336508477,0.360517592,0.354302477,0.397181192,0.390438594,0.365601256,0.379362606,0.35961805,0.341988419,0.326596309,0.317151221,0.310614202,0.246223805,0.268333731,0.272639133,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176211522,1.247085223,1.20199505,1.14323204,1.035380342,0.99875833,0.972659769,0.88861685,0.788305687,0.731573531,0.667517093,0.662004458,0.639924068,0.632540734,0.601004128,0.577417413,0.571559523,0.528193743,0.503809732,,,
Portugal,,,,,,,,,,,,,,,,,,,,,0.23813425,0.232680782,0.23393172,0.241610448,0.243563855,0.226082723,0.23665636,0.236637478,0.231279547,0.271264019,0.270741027,0.286190186,0.30735973,0.28441945,0.289382672,0.298134596,0.279258648,0.280558642,0.290239389,0.31074565,0.291069734,0.284967143,0.300605759,0.278197388,0.282414731,0.289709489,0.258459454,0.257296382,0.240556095,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906534157,0.760341731,0.725970182,0.81904293,0.844261153,0.90935011,0.845458681,0.791885346,0.636126505,,,
Romania,,,,,,,,,,,,,,,,,,,,,1.159382874,1.159563786,1.101568416,1.063633809,0.94783431,0.974198001,0.989557352,1.030348218,1.03850584,1.10951211,0.871922786,0.866643659,0.864504161,0.831681367,0.765049423,0.785540946,0.751212015,0.725887163,0.681507013,0.596370552,0.586350446,0.58979282,0.540653293,0.534926968,0.490589281,0.468876156,0.466765442,0.424894063,0.373451079,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.461525068,1.462831308,1.44481346,1.45513317,1.488597269,1.387186375,1.403737308,1.339363917,1.232841285,1.166275306,1.108258956,1.065020734,1.004975335,0.95223439,0.909830514,0.837264283,0.815112083,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,0.117263052,0.135108145,0.134323414,0.145068088,0.137937947,0.128302467,0.118025427,0.121675085,0.131684473,0.130345942,0.132129453,0.125335639,0.119759863,0.131076747,0.254427677,0.185925984,0.169844737,0.154387295,0.139433325,0.135532565,0.128117508,0.118712099,0.106947837,0.103532382,0.097435413,0.089144934,0.081634555,0.080259848,0.07106572,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,0.220206388,0.268477962,0.210869932,0.191059509,0.179566915,0.183743533,0.158462249,0.174344999,0.162004089,0.158408425,0.175320047,0.169704142,0.18297767,0.181660681,0.1898362,0.191883299,0.179716207,0.177684162,0.168884237,0.164307265,0.287518268,0.307370423,0.339926383,0.326340315,0.318967498,0.302321663,0.301001473,0.283622995,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,0.229407392,0.185881345,0.24852184,0.21531839,0.193023636,0.231367065,0.207158171,0.225806301,0.226475145,0.207653953,0.168079754,0.170971449,0.190345163,0.205453062,0.235247357,0.268882148,0.270068501,0.25403926,0.236053716,0.238850705,0.247098872,0.286476228,0.249781927,0.269565684,0.252600121,0.249585097,0.235716239,0.2446408,0.238738312,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,0.110925865,0.104519406,0.109708591,0.105085673,0.162389725,0.153029519,0.143470261,0.160113571,0.119746009,0.136305588,0.135937444,0.128964238,0.131363321,0.159669156,0.194008061,0.209546008,0.212518658,0.18761345,0.216950879,0.212415179,0.195055685,0.217435154,0.217938056,0.21973173,0.20617405,0.205688005,0.191269665,0.184678298,0.181674726,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.294393051,0.293129562,0.289403338,0.278488018,0.263958216,0.262689182,0.26653341,0.273586407,0.294916481,0.301859235,0.311360175,0.299097191,0.289361799,0.296243609,0.276155179,0.273954036,0.267547341,0.27611143,0.257986887,0.247242673,0.236803803,0.237627353,0.232291589,0.228355348,0.223905115,0.215157847,0.223415764,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561924369,0.584154377,0.573208664,0.555637243,0.593674421,0.556526192,0.525024709,0.496242649,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,0.509795329,0.504450439,0.511164253,0.567349167,0.566034342,0.655969672,0.740701881,0.718068516,0.704723742,0.708402111,0.690260869,0.789821897,0.806424595,0.887059573,0.867371011,0.654502123,0.696856366,0.569705891,0.529632565,0.584961778,0.73094587,0.722310555,0.788726497,0.733096658,0.744498491,0.748165271,0.75760215,0.769200711,0.805703044,,,
Senegal,,,,,,,,,,,,,,,,,,,,,0.404324935,0.378501224,0.325207368,0.296081242,0.358527616,0.280936464,0.270961145,0.235344558,0.264703806,0.343066461,0.297427877,0.312067462,0.313187437,0.319265069,0.346690723,0.294715798,0.309213818,0.261630781,0.259549338,0.263374524,0.271651083,0.285630522,0.297948975,0.307951271,0.306321762,0.321822811,0.256531545,0.274435525,0.245124233,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784103985,0.982545865,0.932500514,0.928386618,1.007523183,0.983734162,1.027927242,0.798540696,0.842035783,0.859230876,0.88222241,0.91876871,0.91847481,0.734803456,0.745685516,0.705361879,0.695160977,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,0.13571562,0.153549846,0.132280182,0.157985795,0.151166472,0.20656699,0.227121424,0.265883071,0.247682065,0.263985806,0.119507897,0.146309869,0.157537113,0.145048161,0.169477619,0.1742393,0.172460047,0.322332616,0.315765123,0.361623041,0.381556983,0.443663809,0.370716649,0.404552544,0.578060146,0.484345024,0.47782252,0.364769709,0.404357625,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,0.237101879,0.262392686,0.200069644,0.254443779,0.218434685,0.248538073,0.249572653,0.172027008,0.170160417,0.137844634,0.138606973,0.163531468,0.203493095,0.214727054,0.252323213,0.275983295,0.279268811,0.341336809,0.32233264,0.344329153,0.358820536,0.413102379,0.450137755,0.423287902,0.343018533,0.378334757,0.346507044,0.344798438,0.332193379,,,
Singapore,,,,,,,,,,,,,,,,,,,,,0.864237694,0.666703854,0.689204158,0.746784692,0.654948615,0.659523763,0.682509076,0.573436624,0.571785415,0.601810819,0.612504509,0.581131574,0.575491202,0.561007683,0.607110035,0.407852555,0.444408707,0.512536893,0.433231531,0.357841983,0.31084071,0.282574421,0.266619788,0.210007345,0.226184243,0.25977771,0.227493473,0.157357179,0.139042773,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85168421,0.793820897,0.736132816,0.749910036,0.689710012,0.647872987,0.639236037,0.589236843,0.532677531,0.554592764,0.528857322,0.507867407,0.474305354,0.449590829,0.412358183,0.350802183,0.340019191,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458046543,0.450419297,0.367024199,0.456555945,0.46085433,0.468670826,0.433601694,0.401660152,0.371423342,0.37431783,0.366542999,0.358058954,0.348078828,0.337947358,0.326500598,0.304821122,0.311784263,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222793194,0.21017397,0.18650558,0.175296233,0.156803358,0.151787777,0.149389805,0.151571947,0.148915491,0.1530385,0.178506949,0.202605612,0.208441987,0.204048694,0.194520365,0.184517324,0.172532122,0.171759205,0.160073817,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,0.945438777,1.010906186,1.106986263,1.173934286,1.207635455,1.254424567,1.27989152,1.246624126,1.247390408,1.211301268,1.188108721,1.24648419,1.194689823,1.244421476,1.263079694,1.206243689,1.173392007,1.183577298,1.180310822,1.149449448,1.096389858,1.050210831,0.971003968,1.033045965,1.074587449,1.006018829,0.946825018,0.958010371,0.930310881,,,
Spain,,,,,,,,,,,,,,,,,,,,,0.373946177,0.361005397,0.36106469,0.346268571,0.330161947,0.32759889,0.299444151,0.284307279,0.282372752,0.30639717,0.296432055,0.298583037,0.308441441,0.288584669,0.303855153,0.310894239,0.300134215,0.300466802,0.298734413,0.293194533,0.291017343,0.28400921,0.292029488,0.289176728,0.296015397,0.297501427,0.283236468,0.279867871,0.255057141,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,0.145060593,0.164201648,0.175126093,0.181792709,0.135473172,0.13216664,0.116527937,0.127937256,0.106469388,0.104641383,0.109286428,0.11250166,0.134116725,0.121638869,0.127077619,0.129108983,0.149164532,0.151349623,0.149501079,0.157623059,0.176997624,0.181268016,0.187335353,0.171235189,0.182279914,0.166943788,0.156373574,0.153553972,0.138456575,,,
Sudan,,,,,,,,,,,,,,,,,,,,,0.175640166,0.158842253,0.157608925,0.157678072,0.148863801,0.184594103,0.182679447,0.12612667,0.183034302,0.130278226,0.203834534,0.183716354,0.152194512,0.088987764,0.134651617,0.131540269,0.115184382,0.132278895,0.109912109,0.115590656,0.11586809,0.125629392,0.151981615,0.158504623,0.178097037,0.193603101,0.169435516,0.16688773,0.173151488,,,
Suriname,,,,,,,,,,,,,,,,,,,,,0.984659453,0.84206211,0.791247316,0.598741116,0.703986126,0.736113611,0.838252251,0.968420537,0.952572247,0.852340246,0.836248566,0.943732088,0.950578538,1.04630009,1.016827189,1.01427511,0.977982135,0.929702057,0.924917458,0.928272951,0.917777336,0.935350695,0.886492703,0.832203849,0.780612656,0.777756935,0.767814464,0.730109862,0.69760098,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,0.335827033,0.274484144,0.271302926,0.166705002,0.193103526,0.245337784,0.22764119,0.189094199,0.177436911,0.15714744,0.126580955,0.095438077,0.074795281,0.036271022,0.129875828,0.116388082,0.084061378,0.287552349,0.282817716,0.280520933,0.264250455,0.251550751,0.243197374,0.220048091,0.211573855,0.204282899,0.197040679,0.199305117,0.200085985,,,
Sweden,,,,,,,,,,,,,,,,,,,,,0.424071836,0.41114264,0.364515394,0.335082929,0.3160406,0.336565755,0.325338801,0.302701292,0.283614586,0.266785626,0.245910688,0.266459783,0.278131747,0.264180925,0.269690577,0.246253184,0.273970822,0.240155602,0.232325008,0.206442673,0.192566351,0.195263473,0.213994663,0.199482838,0.190417436,0.174574143,0.160916237,0.150994526,0.155103681,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,0.225138878,0.21241015,0.202879718,0.220521484,0.209300523,0.205247906,0.213988792,0.200476335,0.196324524,0.182717261,0.191559975,0.190616973,0.194812857,0.184800435,0.184617317,0.174732843,0.17645456,0.179581535,0.176369099,0.169045238,0.156758935,0.170454879,0.160903663,0.159134402,0.155981423,0.155468338,0.15184355,0.133008332,0.138408217,,,
Syria,,,,,,,,,,,,,,,,,,,,,0.706140338,0.825675445,0.743292915,0.836740013,1.032293559,0.87168747,0.969664344,1.099415743,0.989904614,1.01726701,1.0239625,1.094491977,0.992322358,1.000373488,0.95717403,0.961549935,0.911460857,0.917673574,1.034842533,1.110680979,1.058984239,0.964196074,0.83691609,1.041485834,0.938531025,0.842847119,0.850386967,0.836097628,0.807997523,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697173702,0.597183935,0.345500992,0.410380416,0.56861661,0.425679084,0.468989318,0.456240485,0.374057586,0.347781959,0.261649342,0.261961289,0.254848952,0.23672294,0.234282498,0.293599562,0.264046648,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119491776,0.11109675,0.111543038,0.112150107,0.108140205,0.119295704,0.108959799,0.152837748,0.142422371,0.11454664,0.097944079,0.09275192,0.092350556,0.102790571,0.110087963,0.109202543,0.115811948,0.126036588,0.124891751,0.130861768,0.130382215,,,
Thailand,,,,,,,,,,,,,,,,,,,,,0.38047223,0.34073086,0.322204647,0.341740824,0.349922878,0.354043482,0.342606831,0.358412175,0.372255402,0.390678924,0.426901999,0.476609106,0.481518929,0.499964046,0.509336219,0.534558006,0.563881469,0.592458208,0.587785027,0.594268249,0.580576768,0.612067283,0.61743712,0.613866517,0.629140526,0.618075937,0.606980852,0.573975629,0.567291478,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252582741,0.252315834,0.264269556,0.248788627,0.269501751,0.255174071,0.234505678,,,
Togo,,,,,,,,,,,,,,,,,,,,,0.237501206,0.214312545,0.259971161,0.20476448,0.216120194,0.185010952,0.234329772,0.252468078,0.244671932,0.248188318,0.230244052,0.252746069,0.260935294,0.318112657,0.266111338,0.282623001,0.288641373,0.23489452,0.284218676,0.365420557,0.325234557,0.279147895,0.284129784,0.32853371,0.304575393,0.288380759,0.252851477,0.266489727,0.280598255,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,0.196372074,0.17306125,0.183838581,0.180697346,0.169575796,0.16605761,0.186050124,0.240183428,0.239250583,0.269952942,0.301999457,0.289190764,0.325231935,0.320952127,0.32013637,0.320103667,0.331209611,0.312041616,0.350445285,0.319648179,0.355283213,0.351500141,0.421669978,0.408670213,0.412589314,0.412106927,0.424933165,0.413813578,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,1.026431924,1.000205697,1.026355847,1.000142216,1.141385521,1.408991238,1.220231245,1.28856264,1.214522011,1.245865304,1.289532823,1.558615521,1.580025884,1.2850145,1.46452572,1.487915472,1.486996625,1.278194367,1.191476428,1.348083094,1.364689013,1.338267408,1.331395481,1.198371675,1.265323228,1.173025315,1.154476121,1.183255692,1.552862925,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,0.367342289,0.360252365,0.351224661,0.398150909,0.384566297,0.376373745,0.385887686,0.352198523,0.373364412,0.389626339,0.361832912,0.406563951,0.365787687,0.393158762,0.368091891,0.355001502,0.35286744,0.338393547,0.34247868,0.328962202,0.342783158,0.341609948,0.339093586,0.327339582,0.324072465,0.31654575,0.303893591,0.295151667,0.295921444,,,
Turkey,,,,,,,,,,,,,,,,,,,,,0.288262276,0.289826609,0.304779832,0.302206592,0.299634354,0.320209933,0.327729794,0.332693805,0.316144133,0.347690165,0.344412011,0.344235836,0.333551428,0.329428936,0.340090664,0.344594869,0.349595474,0.342508004,0.338961677,0.335988893,0.345664346,0.329902224,0.328543401,0.331580341,0.312763782,0.303834344,0.31322153,0.325664011,0.322761413,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.261553806,2.47672414,3.624045612,4.038689537,3.921563936,4.219041512,3.441078684,3.98359809,3.409914474,3.15193837,2.817465183,2.528257641,1.981266735,1.847082395,1.741927294,1.628919749,1.481241163,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.071536357,0.076730712,0.072895716,0.077744227,0.088237099,0.089840514,0.097158025,0.087426152,0.082110221,0.080929202,0.079266102,0.069748324,0.059405318,0.06848641,0.069044972,0.070730368,0.079642158,0.076734931,0.081837176,0.082829699,0.07960107,0.075404671,0.075265291,0.090319002,0.094305029,0.103017466,0.110811644,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.854410241,1.839979363,1.954281559,2.220519739,2.281303092,1.94609549,1.910763947,1.937387943,1.764674106,1.620417134,1.526114013,1.541954367,1.339833752,1.289049356,1.161550014,1.079986361,1.038612325,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,0.294616918,0.281137652,0.301508871,0.30340372,0.382903241,0.427410895,0.475493686,0.464401989,0.483638066,0.484996936,0.391228104,0.425196052,0.419558227,0.470233901,0.487572034,0.441448104,0.242524573,0.227367808,0.443630411,0.414610074,0.53716766,0.476911494,0.387322108,0.449168193,0.435051278,0.425016121,0.410537006,0.447102826,0.486435636,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,0.591814635,0.580000309,0.555055113,0.532584355,0.503034416,0.513432914,0.501483876,0.482210359,0.457980468,0.456601392,0.444111362,0.469015019,0.463316231,0.437867169,0.417121875,0.405304145,0.405212369,0.364141214,0.350629924,0.326917309,0.31770652,0.31190597,0.29356137,0.28820154,0.282560298,0.275141162,0.268545329,0.253026579,0.252579919,,,
United States,,,,,,,,,,,,,,,,,,,,,0.814500522,0.762453064,0.73817352,0.711915671,0.68487652,0.660200839,0.638995032,0.646030416,0.647642509,0.633333469,0.612786804,0.613241084,0.59375152,0.61167423,0.594287719,0.580712477,0.570802664,0.562327808,0.53304746,0.515671127,0.493602032,0.477415804,0.473014005,0.46434549,0.455813781,0.444792639,0.426969103,0.423906693,0.414838254,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,0.256501543,0.23257342,0.233637074,0.203962878,0.186500894,0.175601472,0.155639388,0.161407417,0.214744713,0.215640301,0.175909909,0.193767464,0.203812025,0.171501176,0.14555501,0.166737288,0.18719276,0.176054537,0.172445393,0.207942735,0.167292499,0.166886652,0.164191855,0.162104586,0.188357401,0.180436522,0.199524807,0.168990987,0.218876557,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.142053023,3.34345425,3.302194333,3.029848709,3.046431625,2.856330656,3.163427631,3.029129748,2.981119964,2.910725365,2.910624448,2.700168522,2.437428074,2.09321688,2.053086944,1.883012307,1.862718291,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.194902229,0.15403863,0.139149473,0.130971333,0.119514618,0.260370145,0.126407082,0.105766638,0.148996202,0.138593447,0.138665682,0.127368967,0.124150953,0.123225848,0.112992783,0.111861018,0.139681111,0.138928322,0.127648869,0.127222941,0.114887802,0.124451474,0.130176601,0.130945175,0.125323375,0.07442178,0.06007704,0.095457691,0.10216766,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,0.520856394,0.529466328,0.549114064,0.568736683,0.561357808,0.608718366,0.618069549,0.604608875,0.597683652,0.612926275,0.646069312,0.556385643,0.481117001,0.563550562,0.603062045,0.59482172,0.549103536,0.563357579,0.701578791,0.769738232,0.655487541,0.717615719,0.88197515,0.950392757,0.703820762,0.605029963,0.530004119,0.518944761,0.510943003,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,0.385231461,0.447562327,0.475021231,0.515756602,0.437921228,0.308073345,0.358375514,0.338910244,0.325537157,0.309065496,0.325173494,0.330084257,0.354839373,0.432172795,0.431151908,0.413624173,0.43213961,0.464994313,0.502717744,0.521435511,0.619189626,0.584496679,0.434476561,0.537209806,0.573242319,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049692065,0.065144521,0.064942706,0.083278494,0.16542829,0.158552458,0.163983561,0.225116492,0.31127129,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443145017,0.439210011,0.577411324,0.364088634,0.411191475,0.385113409,0.488619564,0.481088231,0.357792959,0.39265274,0.389604535,0.416697232,0.388888876,0.411463048,0.431801798,0.434111412,0.436475107,0.44643563,0.458323614,,,
Zambia,,,,,,,,,,,,,,,,,,,,,0.39907943,0.358329261,0.385568618,0.365444669,0.316117428,0.303810576,0.316487574,0.288290561,0.315419944,0.264018642,0.249227746,0.246327514,0.254850465,0.242904095,0.257258129,0.237451975,0.191276268,0.236724471,0.23343885,0.17841697,0.173300676,0.173199421,0.173147831,0.175790206,0.167396916,0.170239886,0.162084372,0.114902108,0.119388624,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
